,Title,Month_Year,genre,count
0,Pulp Fiction,10/1994,drama,1
1,The Amazing Spider-Man 2,05/2014,drama,0
2,The Silence of the Lambs,02/1991,drama,1
3,Jurassic Park,06/1993,drama,0
4,The Lion King,06/1994,drama,1
5,Toy Story,11/1995,drama,0
6,The Big Lebowski,03/1998,drama,0
7,Saving Private Ryan,07/1998,drama,1
8,Fight Club,10/1999,drama,1
9,The Matrix,03/1999,drama,0
10,Star Wars: Episode I - The Phantom Menace,05/1999,drama,0
11,Gladiator,05/2000,drama,1
12,X-Men,07/2000,drama,0
13,Harry Potter and the Sorcerer's Stone,11/2001,drama,0
14,The Lord of the Rings: The Fellowship of the Ring,12/2001,drama,1
15,The Lord of the Rings: The Two Towers,12/2002,drama,1
16,xXx,08/2002,drama,0
17,Finding Nemo,05/2003,drama,0
18,The Lord of the Rings: The Return of the King,12/2003,drama,1
19,Anchorman: The Legend of Ron Burgundy,07/2004,drama,0
20,Mean Girls,04/2004,drama,0
21,Sin City,04/2005,drama,0
22,Batman Begins,06/2005,drama,0
23,The Departed,10/2006,drama,1
24,The Prestige,10/2006,drama,1
25,V for Vendetta,03/2006,drama,1
26,Casino Royale,11/2006,drama,0
27,Transformers,07/2007,drama,0
28,The Dark Knight,07/2008,drama,1
29,Iron Man,05/2008,drama,0
30,Quantum of Solace,11/2008,drama,0
31,Tropic Thunder,08/2008,drama,0
32,G.I. Joe: The Rise of Cobra,08/2009,drama,0
33,The Hangover,06/2009,drama,0
34,Inglourious Basterds,08/2009,drama,1
35,Star Trek,05/2009,drama,0
36,Taken,01/2009,drama,0
37,Taken,01/2009,drama,0
38,Up,05/2009,drama,0
39,X-Men Origins: Wolverine,05/2009,drama,0
40,Zombieland,10/2009,drama,0
41,2012,11/2009,drama,0
42,Avatar,12/2009,drama,0
43,Despicable Me,07/2010,drama,0
44,Grown Ups,06/2010,drama,0
45,How to Train Your Dragon,03/2010,drama,0
46,Inception,07/2010,drama,0
47,Iron Man 2,05/2010,drama,0
48,Kick-Ass,04/2010,drama,0
49,RED,10/2010,drama,0
50,Shutter Island,02/2010,drama,0
51,TRON: Legacy,12/2010,drama,0
52,Toy Story 3,06/2010,drama,0
53,Drive,09/2011,drama,1
54,Fast Five,04/2011,drama,0
55,Harry Potter and the Deathly Hallows: Part 2,07/2011,drama,1
56,Limitless,03/2011,drama,0
57,Pirates of the Caribbean: On Stranger Tides,05/2011,drama,0
58,X-Men: First Class,06/2011,drama,0
59,The Girl with the Dragon Tattoo,12/2011,drama,1
60,The Help,08/2011,drama,1
61,In Time,10/2011,drama,1
62,21 Jump Street,03/2012,drama,0
63,The Amazing Spider-Man,07/2012,drama,0
64,American Reunion,04/2012,drama,0
65,The Avengers,05/2012,drama,0
66,Battleship,05/2012,drama,0
67,The Bourne Legacy,08/2012,drama,0
68,Brave,06/2012,drama,0
69,The Cabin in the Woods,04/2012,drama,0
70,The Campaign,08/2012,drama,0
71,Cloud Atlas,10/2012,drama,1
72,The Dark Knight Rises,07/2012,drama,0
73,Dark Shadows,05/2012,drama,0
74,Django Unchained,12/2012,drama,1
75,Dredd,09/2012,drama,0
76,End of Watch,09/2012,drama,1
77,The Expendables 2,08/2012,drama,0
78,Flight,11/2012,drama,1
79,The Guilt Trip,12/2012,drama,1
80,Here Comes the Boom,10/2012,drama,0
81,The Hobbit: An Unexpected Journey,12/2012,drama,0
82,Hotel Transylvania,09/2012,drama,0
83,Jack Reacher,12/2012,drama,0
84,John Carter,03/2012,drama,0
85,Killing Them Softly,11/2012,drama,0
86,Lawless,08/2012,drama,1
87,Life of Pi,11/2012,drama,1
88,Looper,09/2012,drama,1
89,Magic Mike,06/2012,drama,1
90,Man on a Ledge,01/2012,drama,0
91,The Man with the Iron Fists,11/2012,drama,0
92,The Master,09/2012,drama,1
93,Men in Black 3,05/2012,drama,0
94,Parental Guidance,12/2012,drama,0
95,Project X,03/2012,drama,0
96,Prometheus,06/2012,drama,0
97,Red Dawn,11/2012,drama,0
98,Rise of the Guardians,11/2012,drama,0
99,Savages,07/2012,drama,1
100,Seven Psychopaths,10/2012,drama,0
101,Sinister,10/2012,drama,0
102,Skyfall,11/2012,drama,0
103,Snow White and the Huntsman,06/2012,drama,1
104,Taken 2,10/2012,drama,0
105,Ted,06/2012,drama,0
106,That's My Boy,06/2012,drama,0
107,This Is 40,12/2012,drama,0
108,Total Recall,08/2012,drama,0
109,Promised Land,01/2013,drama,1
110,Wreck-It Ralph,11/2012,drama,0
111,Jack the Giant Slayer,03/2013,drama,0
112,Oz the Great and Powerful,03/2013,drama,0
113,A Good Day to Die Hard,02/2013,drama,0
114,Trance,03/2013,drama,1
115,Side Effects,02/2013,drama,1
116,Spring Breakers,03/2013,drama,1
117,The Incredible Burt Wonderstone,03/2013,drama,0
118,Disconnect,07/2013,drama,1
119,Mud,05/2013,drama,1
120,The Company You Keep,04/2013,drama,1
121,Olympus Has Fallen,03/2013,drama,0
122,The Place Beyond the Pines,04/2013,drama,1
123,G.I. Joe: Retaliation,03/2013,drama,0
124,The Croods,03/2013,drama,0
125,A Haunted House,01/2013,drama,0
126,World War Z,06/2013,drama,0
127,Oblivion,04/2013,drama,0
128,Ender's Game,11/2013,drama,0
129,The Hobbit: The Desolation of Smaug,12/2013,drama,0
130,Man of Steel,06/2013,drama,0
131,Pacific Rim,07/2013,drama,0
132,The Hunger Games: Catching Fire,11/2013,drama,0
133,The Lone Ranger,07/2013,drama,0
134,The Wolverine,07/2013,drama,0
135,Elysium,08/2013,drama,1
136,After Earth,05/2013,drama,0
137,Iron Man 3,05/2013,drama,0
138,This Is the End,06/2013,drama,0
139,R.I.P.D.,07/2013,drama,0
140,Thor: The Dark World,11/2013,drama,0
141,Star Trek Into Darkness,05/2013,drama,0
142,Now You See Me,05/2013,drama,0
143,The Hangover Part III,05/2013,drama,0
144,Kick-Ass 2,08/2013,drama,0
145,The Lords of Salem,04/2013,drama,0
146,Iron Sky,04/2012,drama,0
147,The Impossible,01/2013,drama,1
148,Filly Brown,04/2013,drama,1
149,Anna Karenina,09/2012,drama,1
150,Stand Up Guys,02/2013,drama,0
151,Not Fade Away,07/2013,drama,1
152,Any Day Now,09/2013,drama,1
153,42,04/2013,drama,1
154,Evil Dead,04/2013,drama,0
155,Scary Movie 5,04/2013,drama,0
156,Broken City,01/2013,drama,1
157,Gangster Squad,01/2013,drama,1
158,Fast & Furious 6,05/2013,drama,0
159,Pain & Gain,04/2013,drama,1
160,Mama,01/2013,drama,0
161,Pawn,09/2013,drama,0
162,300: Rise of an Empire,03/2014,drama,0
163,Temptation: Confessions of a Marriage Counselor,03/2013,drama,1
164,The Way Way Back,07/2013,drama,1
165,Grown Ups 2,07/2013,drama,0
166,Dark Skies,02/2013,drama,0
167,Percy Jackson: Sea of Monsters,08/2013,drama,0
168,The Bling Ring,06/2013,drama,1
169,Identity Thief,02/2013,drama,1
170,The Big Wedding,04/2013,drama,1
171,Welcome to the Punch,03/2013,drama,0
172,Only God Forgives,05/2013,drama,1
173,Movie 43,01/2013,drama,0
174,The Call,03/2013,drama,1
175,Hansel & Gretel: Witch Hunters,01/2013,drama,0
176,The Purge,06/2013,drama,0
177,Snitch,02/2013,drama,1
178,Heat,12/1995,drama,1
179,Independence Day,07/1996,drama,0
180,Good Will Hunting,01/1998,drama,1
181,Armageddon,07/1998,drama,0
182,The Truman Show,06/1998,drama,1
183,American Beauty,10/1999,drama,1
184,Big Daddy,06/1999,drama,1
185,The Green Mile,12/1999,drama,1
186,The Mummy,05/1999,drama,0
187,The Sixth Sense,08/1999,drama,1
188,Toy Story 2,11/1999,drama,0
189,American Psycho,04/2000,drama,1
190,Scary Movie,07/2000,drama,0
191,Snatch,01/2001,drama,0
192,"Monsters, Inc.",11/2001,drama,0
193,Men in Black II,07/2002,drama,0
194,Red Dragon,10/2002,drama,1
195,Spider-Man,05/2002,drama,0
196,Spirited Away,03/2003,drama,0
197,Star Wars: Episode II - Attack of the Clones,05/2002,drama,0
198,The Italian Job,05/2003,drama,0
199,The Matrix Reloaded,05/2003,drama,0
200,Pirates of the Caribbean: The Curse of the Black Pearl,07/2003,drama,0
201,Big Fish,01/2004,drama,1
202,Dodgeball: A True Underdog Story,06/2004,drama,0
203,EuroTrip,02/2004,drama,0
204,Harry Potter and the Prisoner of Azkaban,06/2004,drama,0
205,The Incredibles,11/2004,drama,0
206,Napoleon Dynamite,08/2004,drama,0
207,Shaun of the Dead,09/2004,drama,0
208,Crash,05/2005,drama,1
209,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",12/2005,drama,0
210,Harry Potter and the Goblet of Fire,11/2005,drama,0
211,Cars,06/2006,drama,0
212,Pan's Labyrinth,01/2007,drama,1
213,Superman Returns,06/2006,drama,0
214,Talladega Nights: The Ballad of Ricky Bobby,08/2006,drama,0
215,X-Men: The Last Stand,05/2006,drama,0
216,The Bourne Ultimatum,08/2007,drama,0
217,Live Free or Die Hard,06/2007,drama,0
218,No Country for Old Men,11/2007,drama,1
219,Ratatouille,06/2007,drama,1
220,Superbad,08/2007,drama,0
221,There Will Be Blood,01/2008,drama,1
222,Jumper,02/2008,drama,0
223,Gran Torino,01/2009,drama,1
224,Gran Torino,01/2009,drama,1
225,The Incredible Hulk,06/2008,drama,0
226,Pineapple Express,08/2008,drama,0
